Feature,Importance
O_C_surface_area_sum,0.0014471311093653455
H_O_H_std,0.0014437083126708195
H_C_kappa_min_min,0.0014411230389874891
N_O_K_std,0.0014386825970051755
N_O_kappa_min_mean,0.0014326888490537135
O_S_kappa_min_sum,0.0014325647119730399
H_O_kappa_min_min,0.001429101693676809
H_C_volume_std,0.001418303076083607
N_O_H_sum,0.0014166935006645145
O_O_K_median,0.0014086100412857956
H_C_K_mean,0.0014063269250781194
C_O_kappa_max_max,0.0014050331100568902
H_O_K_median,0.0013970793593657282
O_O_kappa_max_mean,0.001390343470685578
C_C_K_min,0.0013888239593679863
O_O_surface_area_std,0.0013874696690487124
O_N_H_sum,0.001386629744543543
C_S_kappa_min_mean,0.0013789229528646358
H_O_volume_sum,0.0013766483018070308
N_C_kappa_max_sum,0.001371953145345202
C_C_kappa_min_std,0.0013704962279063543
O_C_surface_area_mean,0.0013679196170553235
C_C_volume_sum,0.0013673418683740942
O_N_K_sum,0.0013661865922836977
N_C_volume_std,0.0013660586974533217
C_C_K_sum,0.0013659568511932775
O_O_kappa_max_std,0.0013629150513282252
N_N_volume_std,0.0013628318707412373
N_C_volume_max,0.001361020496914195
H_S_K_mean,0.0013609772052370777
C_N_surface_area_sum,0.0013600120617694572
N_C_H_sum,0.0013586200348892803
C_O_H_mean,0.0013578264793732368
N_O_K_sum,0.001355306962607389
O_O_kappa_max_max,0.0013550212795584908
N_N_H_median,0.0013545468425303553
C_O_K_std,0.0013539197708503116
C_N_K_max,0.001352177960070024
C_S_surface_area_min,0.0013521566961190506
C_S_kappa_min_sum,0.0013516387439726342
H_C_K_sum,0.0013501485624317384
H_C_H_mean,0.0013446227748982835
H_N_surface_area_min,0.0013421165088253102
N_N_kappa_min_median,0.001325979931669357
C_N_H_mean,0.0013256299999532832
H_N_kappa_min_median,0.0013255900366421426
O_N_H_std,0.0013199476829047028
N_C_H_min,0.0013177310338708167
H_O_kappa_min_max,0.0013176537203756491
H_O_H_sum,0.001315109735702806
C_N_surface_area_mean,0.0013116028465273665
H_N_H_mean,0.0013111730758999561
C_O_kappa_max_std,0.001309908163867387
N_N_kappa_max_max,0.00130953377766204
